
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]
Fetching 4 files:  25%|██▌       | 1/4 [00:07<00:23,  7.85s/it]
Fetching 4 files: 100%|██████████| 4/4 [00:07<00:00,  1.97s/it]

Loading weights:   0%|          | 0/687 [00:00<?, ?it/s]
Loading weights:   0%|          | 1/687 [00:00<00:00, 12748.64it/s, Materializing param=model.image_newline]
Loading weights:   0%|          | 1/687 [00:00<00:00, 4152.78it/s, Materializing param=model.image_newline] 
Loading weights:   0%|          | 2/687 [00:00<00:01, 597.82it/s, Materializing param=lm_head.weight]      
Loading weights:   0%|          | 2/687 [00:00<00:01, 381.06it/s, Materializing param=lm_head.weight]
Loading weights:   0%|          | 3/687 [00:00<00:01, 530.14it/s, Materializing param=model.language_model.embed_tokens.weight]
Loading weights:   0%|          | 3/687 [00:00<00:01, 484.55it/s, Materializing param=model.language_model.embed_tokens.weight]
Loading weights:   1%|          | 4/687 [00:00<00:01, 567.95it/s, Materializing param=model.language_model.layers.0.input_layernorm.weight]
Loading weights:   1%|          | 4/687 [00:00<00:01, 548.94it/s, Materializing param=model.language_model.layers.0.input_layernorm.weight]
Loading weights:   1%|          | 5/687 [00:00<00:01, 670.85it/s, Materializing param=model.language_model.layers.0.mlp.down_proj.weight]  
Loading weights:   1%|          | 5/687 [00:00<00:01, 637.26it/s, Materializing param=model.language_model.layers.0.mlp.down_proj.weight]
Loading weights:   1%|          | 6/687 [00:00<00:00, 729.93it/s, Materializing param=model.language_model.layers.0.mlp.gate_proj.weight]
Loading weights:   1%|          | 6/687 [00:00<00:00, 699.63it/s, Materializing param=model.language_model.layers.0.mlp.gate_proj.weight]
Loading weights:   1%|          | 7/687 [00:00<00:00, 707.75it/s, Materializing param=model.language_model.layers.0.mlp.up_proj.weight]  
Loading weights:   1%|          | 7/687 [00:00<00:00, 700.48it/s, Materializing param=model.language_model.layers.0.mlp.up_proj.weight]
Loading weights:   1%|          | 8/687 [00:00<00:00, 761.58it/s, Materializing param=model.language_model.layers.0.post_attention_layernorm.weight]
Loading weights:   1%|          | 8/687 [00:00<00:00, 756.72it/s, Materializing param=model.language_model.layers.0.post_attention_layernorm.weight]
Loading weights:   1%|▏         | 9/687 [00:00<00:00, 842.85it/s, Materializing param=model.language_model.layers.0.self_attn.k_proj.weight]        
Loading weights:   1%|▏         | 9/687 [00:00<00:00, 838.80it/s, Materializing param=model.language_model.layers.0.self_attn.k_proj.weight]
Loading weights:   1%|▏         | 10/687 [00:00<00:00, 893.51it/s, Materializing param=model.language_model.layers.0.self_attn.o_proj.weight]
